Product keyword,TrexIDV2,Seller Facing Fee Category,Risk Factor
aquarium decor ornaments,aquariums_parts_accessories,All Other Categories,High Risk
aquarium decor plastic plants,aquariums_parts_accessories,All Other Categories,High Risk
aquarium filter accessories,aquariums_parts_accessories,All Other Categories,High Risk
aquarium filters,aquariums_parts_accessories,All Other Categories,High Risk
aquarium gravel cleaners,aquariums_parts_accessories,All Other Categories,High Risk
aquarium heaters,aquariums_parts_accessories,All Other Categories,High Risk
aquarium heaters and chillers,aquariums_parts_accessories,All Other Categories,High Risk
aquarium hoods,aquariums_parts_accessories,All Other Categories,High Risk
aquarium lights,aquariums_parts_accessories,All Other Categories,High Risk
aquarium starter kits,aquariums_parts_accessories,All Other Categories,High Risk
aquarium test kits,aquariums_parts_accessories,All Other Categories,High Risk
aquarium thermometers,aquariums_parts_accessories,All Other Categories,High Risk
aquarium treatments,aquariums_parts_accessories,All Other Categories,High Risk
aquarium water pumps,aquariums_parts_accessories,All Other Categories,High Risk
aquarium decor gravel,aquariums_parts_accessories,All Other Categories,High Risk
lawn mowers,automotive_lawn_mowers,All Other Categories,High Risk
riding mowers,automotive_lawn_mowers,All Other Categories,High Risk
snow blowers,automotive_lawn_mowers,All Other Categories,High Risk
snow throwers,automotive_lawn_mowers,All Other Categories,High Risk
tow behind mowers,automotive_lawn_mowers,All Other Categories,High Risk
walk behind lawn mowers,automotive_lawn_mowers,All Other Categories,High Risk
robotic lawn mowers,automotive_lawn_mowers,All Other Categories,High Risk
four stroke power tool engines,automotive_lawn_mowers_parts_accessories,All Other Categories,High Risk
grass catchers,automotive_lawn_mowers_parts_accessories,All Other Categories,High Risk
lawn and garden towable tools,automotive_lawn_mowers_parts_accessories,All Other Categories,High Risk
lawn mower accessories,automotive_lawn_mowers_parts_accessories,All Other Categories,High Risk
lawn mower bearings,automotive_lawn_mowers_parts_accessories,All Other Categories,High Risk
lawn mower belts,automotive_lawn_mowers_parts_accessories,All Other Categories,High Risk
lawn mower blades,automotive_lawn_mowers_parts_accessories,All Other Categories,High Risk
lawn mower deck parts,automotive_lawn_mowers_parts_accessories,All Other Categories,High Risk
lawn mower electric clutches,automotive_lawn_mowers_parts_accessories,All Other Categories,High Risk
lawn mower fuel lines,automotive_lawn_mowers_parts_accessories,All Other Categories,High Risk
lawn mower handle parts,automotive_lawn_mowers_parts_accessories,All Other Categories,High Risk
lawn mower key switches,automotive_lawn_mowers_parts_accessories,All Other Categories,High Risk
lawn mower oil filters,automotive_lawn_mowers_parts_accessories,All Other Categories,High Risk
lawn mower parts,automotive_lawn_mowers_parts_accessories,All Other Categories,High Risk
lawn mower pulleys,automotive_lawn_mowers_parts_accessories,All Other Categories,High Risk
lawn mower recoil springs,automotive_lawn_mowers_parts_accessories,All Other Categories,High Risk
lawn mower replacement parts,automotive_lawn_mowers_parts_accessories,All Other Categories,High Risk
lawn mower spark plugs,automotive_lawn_mowers_parts_accessories,All Other Categories,High Risk
lawn mower tires,automotive_lawn_mowers_parts_accessories,All Other Categories,High Risk
lawn mower tune up kits,automotive_lawn_mowers_parts_accessories,All Other Categories,High Risk
snow blower accessories,automotive_lawn_mowers_parts_accessories,All Other Categories,High Risk
snow blower replacement parts,automotive_lawn_mowers_parts_accessories,All Other Categories,High Risk
string trimmer spools,automotive_lawn_mowers_parts_accessories,All Other Categories,High Risk
lawn mower air filters,automotive_lawn_mowers_parts_accessories,All Other Categories,High Risk
backpacks,backpacks_multipurpose,All Other Categories,High Risk
basic multipurpose backpacks,backpacks_multipurpose,All Other Categories,High Risk
camping child carriers,backpacks_multipurpose,All Other Categories,High Risk
child carrier backpacks,backpacks_multipurpose,All Other Categories,High Risk
childrens school backpacks,backpacks_multipurpose,All Other Categories,High Risk
fashion backpacks,backpacks_multipurpose,All Other Categories,High Risk
hiking daypacks,backpacks_multipurpose,All Other Categories,High Risk
internal frame backpacks,backpacks_multipurpose,All Other Categories,High Risk
outdoor backpacks,backpacks_multipurpose,All Other Categories,High Risk
plush backpacks,backpacks_multipurpose,All Other Categories,High Risk
sports fan backpacks,backpacks_multipurpose,All Other Categories,High Risk
baby and toddler hiking backpacks,backpacks_multipurpose,All Other Categories,High Risk
hunting backpacks,backpacks_other,All Other Categories,High Risk
picnic backpacks,backpacks_other,All Other Categories,High Risk
tactical backpacks,backpacks_other,All Other Categories,High Risk
baby bottle tote bags,bags_baby,All Other Categories,High Risk
baby bunting bags,bags_baby,All Other Categories,High Risk
baby diaper changing kits,bags_baby,All Other Categories,High Risk
breast pump tote bags,bags_baby,All Other Categories,High Risk
cloth diaper wet bags,bags_baby,All Other Categories,High Risk
diaper bags,bags_baby,All Other Categories,High Risk
diaper tote bags,bags_baby,All Other Categories,High Risk
diaper backpacks,bags_baby,All Other Categories,High Risk
arts and crafts pen pencil and marker cases,bags_cases_arts_crafts,All Other Categories,High Risk
pencil holders,bags_cases_arts_crafts,All Other Categories,High Risk
cosmetic bags,bags_cases_cosmetics_toiletries,All Other Categories,High Risk
makeup bags and cases,bags_cases_cosmetics_toiletries,All Other Categories,High Risk
makeup train cases,bags_cases_cosmetics_toiletries,All Other Categories,High Risk
makeup travel cases and holders,bags_cases_cosmetics_toiletries,All Other Categories,High Risk
toiletry bags,bags_cases_cosmetics_toiletries,All Other Categories,High Risk
handbags,bags_fashion,All Other Categories,High Risk
clutch handbags,bags_fashion,All Other Categories,High Risk
cross body handbags,bags_fashion,All Other Categories,High Risk
evening handbags,bags_fashion,All Other Categories,High Risk
hobo handbags,bags_fashion,All Other Categories,High Risk
messenger bags,bags_fashion,All Other Categories,High Risk
satchel style handbags,bags_fashion,All Other Categories,High Risk
shoulder handbags,bags_fashion,All Other Categories,High Risk
sports fan handbags,bags_fashion,All Other Categories,High Risk
sports fan totebags,bags_fashion,All Other Categories,High Risk
top handle handbags,bags_fashion,All Other Categories,High Risk
tote handbags,bags_fashion,All Other Categories,High Risk
waist packs,bags_fashion,All Other Categories,High Risk
wristlet handbags,bags_fashion,All Other Categories,High Risk
shoulder bags,bags_fashion,All Other Categories,High Risk
reusable grocery bags,bags_grocery,All Other Categories,High Risk
childrens reusable lunch bags,bags_grocery,All Other Categories,High Risk
reusable lunch bags,bags_grocery,All Other Categories,High Risk
reusable produce bags,bags_grocery,All Other Categories,High Risk
sports duffel bags,bags_sports,All Other Categories,High Risk
baseball and softball equipment bags,bags_sports,All Other Categories,High Risk
bike panniers and rack trunks,bags_sports,All Other Categories,High Risk
boating dry bags,bags_sports,All Other Categories,High Risk
bowling totes,bags_sports,All Other Categories,High Risk
fishing tackle storage bags,bags_sports,All Other Categories,High Risk
golf carry bags,bags_sports,All Other Categories,High Risk
golf cart bags,bags_sports,All Other Categories,High Risk
golf stand bags,bags_sports,All Other Categories,High Risk
gym drawstring bags,bags_sports,All Other Categories,High Risk
hiking fanny packs,bags_sports,All Other Categories,High Risk
hockey bags,bags_sports,All Other Categories,High Risk
ice skating bags,bags_sports,All Other Categories,High Risk
powersports gear bags,bags_sports,All Other Categories,High Risk
powersports saddle bags,bags_sports,All Other Categories,High Risk
powersports tank bags,bags_sports,All Other Categories,High Risk
roller bowling bags,bags_sports,All Other Categories,High Risk
running waist packs,bags_sports,All Other Categories,High Risk
ski bags,bags_sports,All Other Categories,High Risk
snowboarding boot bags,bags_sports,All Other Categories,High Risk
snowboarding equipment bags,bags_sports,All Other Categories,High Risk
snow sports boot bags,bags_sports,All Other Categories,High Risk
soccer ball bags,bags_sports,All Other Categories,High Risk
surfboard bags,bags_sports,All Other Categories,High Risk
swimming equipment bags,bags_sports,All Other Categories,High Risk
tactical bag accessories,bags_sports,All Other Categories,High Risk
tactical pouches,bags_sports,All Other Categories,High Risk
tennis bags,bags_sports,All Other Categories,High Risk
basketball equipment bags,bags_sports,All Other Categories,High Risk
beer,beverages_alcohol,All Other Categories,High Risk
spirits,beverages_alcohol,All Other Categories,High Risk
wine,beverages_alcohol,All Other Categories,High Risk
ciders,beverages_alcohol,All Other Categories,High Risk
alcoholic beverage,beverages_alcohol,All Other Categories,High Risk
red wine alcohol,beverages_alcohol,All Other Categories,High Risk
sparkling wine alcohol,beverages_alcohol,All Other Categories,High Risk
white wine alcohol,beverages_alcohol,All Other Categories,High Risk
hobby coin collecting products,collectibles_accessories,All Other Categories,High Risk
hobby coin collection starter kits,collectibles_accessories,All Other Categories,High Risk
collectible coins,collectibles_coins,All Other Categories,High Risk
collectible gold coins,collectibles_coins,All Other Categories,High Risk
collectible silver coins,collectibles_coins,All Other Categories,High Risk
commercial cooking equipment accessories,commercial_food_service_equipment,All Other Categories,High Risk
commercial food preparation equipment,commercial_food_service_equipment,All Other Categories,High Risk
commercial food service equipment,commercial_food_service_equipment,All Other Categories,High Risk
food service rack shelves,commercial_food_service_equipment,All Other Categories,High Risk
pizza delivery bags,commercial_food_service_equipment,All Other Categories,High Risk
commercial cookware,commercial_food_service_equipment,All Other Categories,High Risk
food service bus tubs,commercial_food_service_equipment,All Other Categories,High Risk
bakery take out containers,commercial_food_service_supplies,All Other Categories,High Risk
bulk beverage containers,commercial_food_service_supplies,All Other Categories,High Risk
cake boxes,commercial_food_service_supplies,All Other Categories,High Risk
cake take out containers,commercial_food_service_supplies,All Other Categories,High Risk
clamshell take out containers,commercial_food_service_supplies,All Other Categories,High Risk
cupcake carriers,commercial_food_service_supplies,All Other Categories,High Risk
cup holder carrier,commercial_food_service_supplies,All Other Categories,High Risk
disposable cake and pizza circles,commercial_food_service_supplies,All Other Categories,High Risk
disposable serving trays,commercial_food_service_supplies,All Other Categories,High Risk
food service butcher paper,commercial_food_service_supplies,All Other Categories,High Risk
menu holders,commercial_food_service_supplies,All Other Categories,High Risk
popcorn concession equipment,commercial_food_service_supplies,All Other Categories,High Risk
take out bags,commercial_food_service_supplies,All Other Categories,High Risk
take out boxes,commercial_food_service_supplies,All Other Categories,High Risk
take out containers,commercial_food_service_supplies,All Other Categories,High Risk
cake carriers,commercial_food_service_supplies,All Other Categories,High Risk
disposable toilet seat covers,commercial_janitorial_machines_tools_supplies,All Other Categories,High Risk
floor cleaning machine pads,commercial_janitorial_machines_tools_supplies,All Other Categories,High Risk
floor polishing machines,commercial_janitorial_machines_tools_supplies,All Other Categories,High Risk
industrial degreasers,commercial_janitorial_machines_tools_supplies,All Other Categories,High Risk
industrial lavatory personal product dispensers,commercial_janitorial_machines_tools_supplies,All Other Categories,High Risk
janitorial deodorizers,commercial_janitorial_machines_tools_supplies,All Other Categories,High Risk
paper roll cutters,commercial_janitorial_machines_tools_supplies,All Other Categories,High Risk
rotary floor cleaning brushes,commercial_janitorial_machines_tools_supplies,All Other Categories,High Risk
commercial dust mop refill pads,commercial_janitorial_machines_tools_supplies,All Other Categories,High Risk
commercial dust mops,commercial_janitorial_machines_tools_supplies,All Other Categories,High Risk
commercial floor cleaners,commercial_janitorial_machines_tools_supplies,All Other Categories,High Risk
commercial glass cleaners,commercial_janitorial_machines_tools_supplies,All Other Categories,High Risk
commercial multipurpose cleaners,commercial_janitorial_machines_tools_supplies,All Other Categories,High Risk
diode lasers,commercial_lab_devices,"Business, Industrial, and Scientific Supplies",Low Risk
science lab autoclaves,commercial_lab_devices,"Business, Industrial, and Scientific Supplies",Low Risk
science lab benchtop centrifuges,commercial_lab_devices,"Business, Industrial, and Scientific Supplies",Low Risk
science lab defibrillators,commercial_lab_devices,"Business, Industrial, and Scientific Supplies",Low Risk
science lab digital thermometers,commercial_lab_devices,"Business, Industrial, and Scientific Supplies",Low Risk
science lab electronic toploading balances,commercial_lab_devices,"Business, Industrial, and Scientific Supplies",Low Risk
science lab flowmeters,commercial_lab_devices,"Business, Industrial, and Scientific Supplies",Low Risk
science lab gas handling instruments,commercial_lab_devices,"Business, Industrial, and Scientific Supplies",Low Risk
science lab general purpose incubators,commercial_lab_devices,"Business, Industrial, and Scientific Supplies",Low Risk
science lab hot plates,commercial_lab_devices,"Business, Industrial, and Scientific Supplies",Low Risk
science lab mixers,commercial_lab_devices,"Business, Industrial, and Scientific Supplies",Low Risk
science lab oscilloscopes,commercial_lab_devices,"Business, Industrial, and Scientific Supplies",Low Risk
science lab pumps,commercial_lab_devices,"Business, Industrial, and Scientific Supplies",Low Risk
science lab refractometers,commercial_lab_devices,"Business, Industrial, and Scientific Supplies",Low Risk
beakers,commercial_lab_equipment,"Business, Industrial, and Scientific Supplies",Low Risk
erlenmeyer flasks,commercial_lab_equipment,"Business, Industrial, and Scientific Supplies",Low Risk
hazardous storage cans,commercial_lab_equipment,"Business, Industrial, and Scientific Supplies",Low Risk
lab distillation apparatus,commercial_lab_equipment,"Business, Industrial, and Scientific Supplies",Low Risk
lab electrodes,commercial_lab_equipment,"Business, Industrial, and Scientific Supplies",Low Risk
medical sharps containers,commercial_lab_equipment,"Business, Industrial, and Scientific Supplies",Low Risk
science lab analytical balances,commercial_lab_equipment,"Business, Industrial, and Scientific Supplies",Low Risk
science lab cylinders,commercial_lab_equipment,"Business, Industrial, and Scientific Supplies",Low Risk
science lab dispensers,commercial_lab_equipment,"Business, Industrial, and Scientific Supplies",Low Risk
science lab dispensing bottles,commercial_lab_equipment,"Business, Industrial, and Scientific Supplies",Low Risk
science lab dissection kits,commercial_lab_equipment,"Business, Industrial, and Scientific Supplies",Low Risk
science lab dropping pipettes,commercial_lab_equipment,"Business, Industrial, and Scientific Supplies",Low Risk
science lab emergency response equipment,commercial_lab_equipment,"Business, Industrial, and Scientific Supplies",Low Risk
science lab equipment,commercial_lab_equipment,"Business, Industrial, and Scientific Supplies",Low Risk
science lab gas cylinders,commercial_lab_equipment,"Business, Industrial, and Scientific Supplies",Low Risk
science lab hydrometers,commercial_lab_equipment,"Business, Industrial, and Scientific Supplies",Low Risk
science lab media bottles,commercial_lab_equipment,"Business, Industrial, and Scientific Supplies",Low Risk
science lab multiparameter meters,commercial_lab_equipment,"Business, Industrial, and Scientific Supplies",Low Risk
science lab ph meters,commercial_lab_equipment,"Business, Industrial, and Scientific Supplies",Low Risk
science lab sample injection syringes,commercial_lab_equipment,"Business, Industrial, and Scientific Supplies",Low Risk
science lab scalpels,commercial_lab_equipment,"Business, Industrial, and Scientific Supplies",Low Risk
science lab showers,commercial_lab_equipment,"Business, Industrial, and Scientific Supplies",Low Risk
science lab spray bottles,commercial_lab_equipment,"Business, Industrial, and Scientific Supplies",Low Risk
science lab stirrers,commercial_lab_equipment,"Business, Industrial, and Scientific Supplies",Low Risk
science lab syringe filters,commercial_lab_equipment,"Business, Industrial, and Scientific Supplies",Low Risk
science lab syringes,commercial_lab_equipment,"Business, Industrial, and Scientific Supplies",Low Risk
science lab test tubes,commercial_lab_equipment,"Business, Industrial, and Scientific Supplies",Low Risk
science lab transfer pipettes,commercial_lab_equipment,"Business, Industrial, and Scientific Supplies",Low Risk
science lab tube racks,commercial_lab_equipment,"Business, Industrial, and Scientific Supplies",Low Risk
science lab utensils,commercial_lab_equipment,"Business, Industrial, and Scientific Supplies",Low Risk
science lab vacuum chambers,commercial_lab_equipment,"Business, Industrial, and Scientific Supplies",Low Risk
science lab ware sets,commercial_lab_equipment,"Business, Industrial, and Scientific Supplies",Low Risk
science lab wash bottles,commercial_lab_equipment,"Business, Industrial, and Scientific Supplies",Low Risk
science lab water purification system accessories,commercial_lab_equipment,"Business, Industrial, and Scientific Supplies",Low Risk
single channel pipettors,commercial_lab_equipment,"Business, Industrial, and Scientific Supplies",Low Risk
hardness testing apparatus,commercial_lab_supplies,"Business, Industrial, and Scientific Supplies",Low Risk
lab chemical acids,commercial_lab_supplies,"Business, Industrial, and Scientific Supplies",Low Risk
lab chemical alcohols,commercial_lab_supplies,"Business, Industrial, and Scientific Supplies",Low Risk
lab chemical analytical reagents,commercial_lab_supplies,"Business, Industrial, and Scientific Supplies",Low Risk
lab chemical inorganic reagents,commercial_lab_supplies,"Business, Industrial, and Scientific Supplies",Low Risk
lab chemical minerals,commercial_lab_supplies,"Business, Industrial, and Scientific Supplies",Low Risk
lab chemical organic reagents,commercial_lab_supplies,"Business, Industrial, and Scientific Supplies",Low Risk
lab chemicals,commercial_lab_supplies,"Business, Industrial, and Scientific Supplies",Low Risk
lab chemical solvents,commercial_lab_supplies,"Business, Industrial, and Scientific Supplies",Low Risk
lab chemical standards,commercial_lab_supplies,"Business, Industrial, and Scientific Supplies",Low Risk
ph test strips,commercial_lab_supplies,"Business, Industrial, and Scientific Supplies",Low Risk
science lab biohazard waste disposal bags,commercial_lab_supplies,"Business, Industrial, and Scientific Supplies",Low Risk
science lab cleaning supplies,commercial_lab_supplies,"Business, Industrial, and Scientific Supplies",Low Risk
science lab consumables,commercial_lab_supplies,"Business, Industrial, and Scientific Supplies",Low Risk
science lab disinfectants,commercial_lab_supplies,"Business, Industrial, and Scientific Supplies",Low Risk
science lab disposable wipes,commercial_lab_supplies,"Business, Industrial, and Scientific Supplies",Low Risk
science lab dropping bottles,commercial_lab_supplies,"Business, Industrial, and Scientific Supplies",Low Risk
science lab esd supplies,commercial_lab_supplies,"Business, Industrial, and Scientific Supplies",Low Risk
science lab eye wash units,commercial_lab_supplies,"Business, Industrial, and Scientific Supplies",Low Risk
science lab first aid supplies,commercial_lab_supplies,"Business, Industrial, and Scientific Supplies",Low Risk
science lab needles,commercial_lab_supplies,"Business, Industrial, and Scientific Supplies",Low Risk
science lab petri dishes,commercial_lab_supplies,"Business, Industrial, and Scientific Supplies",Low Risk
science lab sample vials,commercial_lab_supplies,"Business, Industrial, and Scientific Supplies",Low Risk
science lab spill containment supplies,commercial_lab_supplies,"Business, Industrial, and Scientific Supplies",Low Risk
science lab supplies,commercial_lab_supplies,"Business, Industrial, and Scientific Supplies",Low Risk
science lab swabs,commercial_lab_supplies,"Business, Industrial, and Scientific Supplies",Low Risk
science lab ultrasonic cleaners,commercial_lab_supplies,"Business, Industrial, and Scientific Supplies",Low Risk
bathroom hand dryers,commercial_restroom_appliances,All Other Categories,High Risk
industrial lavatory baby changing stations,commercial_restroom_equipment,All Other Categories,High Risk
industrial lavatory hand product dispensers,commercial_restroom_equipment,All Other Categories,High Risk
paper towel dispensers,commercial_restroom_equipment,All Other Categories,High Risk
fall arrest kits,commercial_safety_equipment,"Business, Industrial, and Scientific Supplies",Low Risk
industrial and scientific safety cones,commercial_safety_equipment,"Business, Industrial, and Scientific Supplies",Low Risk
industrial lockout tagout kits,commercial_safety_equipment,"Business, Industrial, and Scientific Supplies",Low Risk
industrial safety chain barriers,commercial_safety_equipment,"Business, Industrial, and Scientific Supplies",Low Risk
industrial safety mirrors,commercial_safety_equipment,"Business, Industrial, and Scientific Supplies",Low Risk
industrial safety rope barriers,commercial_safety_equipment,"Business, Industrial, and Scientific Supplies",Low Risk
industrial safety training kits,commercial_safety_equipment,"Business, Industrial, and Scientific Supplies",Low Risk
industrial spill response kits,commercial_safety_equipment,"Business, Industrial, and Scientific Supplies",Low Risk
industrial warning lights,commercial_safety_equipment,"Business, Industrial, and Scientific Supplies",Low Risk
industrial warning signs,commercial_safety_equipment,"Business, Industrial, and Scientific Supplies",Low Risk
job site safety equipment,commercial_safety_equipment,"Business, Industrial, and Scientific Supplies",Low Risk
safety equipment,commercial_safety_equipment,"Business, Industrial, and Scientific Supplies",Low Risk
safety marking and warning tape,commercial_safety_equipment,"Business, Industrial, and Scientific Supplies",Low Risk
safety tape,commercial_safety_equipment,"Business, Industrial, and Scientific Supplies",Low Risk
science lab fall protection hardware,commercial_safety_equipment,"Business, Industrial, and Scientific Supplies",Low Risk
science lab safety cones,commercial_safety_equipment,"Business, Industrial, and Scientific Supplies",Low Risk
welding blankets,commercial_safety_equipment,"Business, Industrial, and Scientific Supplies",Low Risk
industrial and scientific eye wash units,commercial_safety_equipment,"Business, Industrial, and Scientific Supplies",Low Risk
animal anatomical models,education_equipment_stem,All Other Categories,High Risk
human anatomical models,education_equipment_stem,All Other Categories,High Risk
science classroom optics kits,education_equipment_stem,All Other Categories,High Risk
science classroom specimens,education_equipment_stem,All Other Categories,High Risk
science education magnetism kits,education_equipment_stem,All Other Categories,High Risk
science gifts,education_equipment_stem,All Other Categories,High Risk
science lab education curriculum support,education_equipment_stem,All Other Categories,High Risk
science prints,education_equipment_stem,All Other Categories,High Risk
hobbyist metal detector accessories,electronics_metal_detectors,All Other Categories,High Risk
hobbyist metal detectors,electronics_metal_detectors,All Other Categories,High Risk
impact printer ribbons,electronics_printers_ink_cartridges,All Other Categories,High Risk
inkjet printer ink cartridges,electronics_printers_ink_cartridges,All Other Categories,High Risk
inkjet printer ink cartridges remanufactured,electronics_printers_ink_cartridges,All Other Categories,High Risk
printer inks and toners,electronics_printers_ink_cartridges,All Other Categories,High Risk
sublimation printer ink cartridge refills and kits,electronics_printers_ink_cartridges,All Other Categories,High Risk
laser printer toner cartridges,electronics_printers_toner_cartridges,All Other Categories,High Risk
eyeglass cases,eyewear_accessories,All Other Categories,High Risk
eyeglass repair kits,eyewear_accessories,All Other Categories,High Risk
prescription eyewear frames,eyewear_frames_prescription,All Other Categories,High Risk
blue light blocking glasses,eyewear_glasses,All Other Categories,High Risk
reading glasses,eyewear_glasses,All Other Categories,High Risk
costume eyewear,eyewear_other,All Other Categories,High Risk
3d eyewear,eyewear_other,All Other Categories,High Risk
novelty eyewear and sunglasses,eyewear_other,All Other Categories,High Risk
video glasses,eyewear_other,All Other Categories,High Risk
app enabled eyeglasses,eyewear_other,All Other Categories,High Risk
eye protection equipment,eyewear_protection,All Other Categories,High Risk
eye protection equipment accessories,eyewear_protection,All Other Categories,High Risk
hunting safety glasses,eyewear_protection,All Other Categories,High Risk
paintball goggles,eyewear_protection,All Other Categories,High Risk
safety eyewear retainers,eyewear_protection,All Other Categories,High Risk
safety glasses,eyewear_protection,All Other Categories,High Risk
safety goggles,eyewear_protection,All Other Categories,High Risk
snow ski goggle replacement lenses,eyewear_protection,All Other Categories,High Risk
cycling glasses and goggles,eyewear_protection,All Other Categories,High Risk
sunglasses,eyewear_sunglasses,All Other Categories,High Risk
infant and toddler sunglasses,eyewear_sunglasses,All Other Categories,High Risk
replacement sunglass lenses,eyewear_sunglasses,All Other Categories,High Risk
sports fan sunglasses,eyewear_sunglasses,All Other Categories,High Risk
professional medical hospital beds,furniture_commercial_beds,"Business, Industrial, and Scientific Supplies",Low Risk
science lab safety storage cabinets,furniture_commercial_cabinets,"Business, Industrial, and Scientific Supplies",Low Risk
professional medical chairs,furniture_commercial_chairs,"Business, Industrial, and Scientific Supplies",Low Risk
school chairs,furniture_commercial_chairs,All Other Categories,High Risk
professional medical exam tables,furniture_commercial_medical_tables,"Business, Industrial, and Scientific Supplies",Low Risk
retail clothing and garment racks,furniture_commercial_retail_displays,All Other Categories,High Risk
retail display cases,furniture_commercial_retail_displays,All Other Categories,High Risk
retail display racks,furniture_commercial_retail_displays,All Other Categories,High Risk
retail gridwall panels and units,furniture_commercial_retail_displays,All Other Categories,High Risk
commercial display stands,furniture_commercial_retail_displays,All Other Categories,High Risk
commercial work tables,furniture_commercial_tables,All Other Categories,High Risk
restaurant table tops,furniture_commercial_tables,All Other Categories,High Risk
workbenches,furniture_commercial_tables,All Other Categories,High Risk
